date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2016. 10. 29,2.0161029553029E+017,SK,83,0.52,0.32,0.75,16,13,22,5,2,13
2016. 10. 29,2.0161029553029E+017,오리온스,88,0.58,0.41,0.9,15,8,27,5,2,15
2015. 10. 25,2.0151025066527E+017,KT,89,0.53,0.35,0.85,18,20,23,8,4,15
2015. 10. 25,2.0151025066527E+017,전자랜드,77,0.47,0.54,0.77,15,8,11,5,1,21
2015. 9. 13,2.0150913163027E+016,동부,88,0.53,0.5,0.73,19,9,17,4,0,18
2015. 9. 13,2.0150913163027E+016,오리온,100,0.67,0.36,0.94,18,6,21,7,0,20
2015. 12. 13,2.0151213656027E+018,전자랜드,85,0.38,0.5,0.63,17,14,23,7,3,24
2015. 12. 13,2.0151213656027E+018,KCC,83,0.49,0.47,0.67,14,8,28,4,2,16
2015. 10. 7,2.0151007703527E+017,KGC 인삼공사,94,0.61,0.48,0.56,19,8,24,11,7,17
2015. 10. 7,2.0151007703527E+017,삼성,82,0.55,0.14,0.75,18,13,24,10,3,21
2015. 12. 30,2.0151230301627E+018,오리온스,74,0.48,0.28,0.6,19,12,19,12,1,19
2015. 12. 30,2.0151230301627E+018,동부,80,0.55,0.48,0.65,16,9,31,5,1,16
2015. 10. 25,2.0151025107027E+017,모비스,102,0.63,0.44,0.8,29,11,24,9,6,18
2015. 10. 25,2.0151025107027E+017,KGC 인삼공사,82,0.5,0.42,0.83,21,4,19,8,2,17
2015. 11. 14,2.0151114105527E+018,모비스,75,0.49,0.3,0.75,18,10,29,3,1,19
2015. 11. 14,2.0151114105527E+018,SK,66,0.46,0.18,0.7,11,5,27,7,3,22
2015. 11. 12,2.0151112651027E+017,전자랜드,59,0.51,0.22,0.88,14,6,27,3,7,26
2015. 11. 12,2.0151112651027E+017,모비스,66,0.37,0.33,0.56,16,13,23,13,5,12
2015. 12. 20,2.0151220167027E+018,동부,87,0.5,0.38,0.91,17,8,23,7,3,23
2015. 12. 20,2.0151220167027E+018,KGC 인삼공사,82,0.6,0.32,0.65,14,11,25,7,4,20
2016. 1. 31,2.0160131656027E+018,전자랜드,108,0.55,0.38,0.78,18,9,25,10,3,29
2016. 1. 31,2.0160131656027E+018,KCC,113,0.6,0.43,0.64,14,10,29,7,1,22
2016. 1. 20,2.0160120355027E+018,삼성,90,0.53,0.45,0.6,25,9,25,3,3,22
2016. 1. 20,2.0160120355027E+018,LG,97,0.53,0.39,0.86,18,10,26,7,2,22
2016. 1. 29,2.0160129507027E+018,LG,79,0.5,0.3,0.71,11,7,26,9,3,17
2016. 1. 29,2.0160129507027E+018,KGC 인삼공사,66,0.47,0.35,0.71,15,5,29,5,1,21
2016. 11. 5,2.0161105500629E+017,LG,71,0.56,0.27,0.75,11,11,20,7,2,20
