date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2016. 1. 2,2.0160102307027E+018,오리온스,106,0.68,0.5,0.79,27,5,21,10,2,15
2016. 1. 2,2.0160102307027E+018,KGC 인삼공사,78,0.53,0.46,0.69,19,6,18,6,1,18
2016. 2. 6,2.0160206357027E+018,삼성,101,0.61,0.47,0.78,17,10,23,11,5,20
2016. 2. 6,2.0160206357027E+018,KGC 인삼공사,80,0.56,0.33,0.7,21,8,23,6,5,18
2016. 3. 19,2.0160319603027E+016,KCC,82,0.5,0.28,0.9,7,14,22,7,2,20
2016. 3. 19,2.0160319603027E+016,오리온스,76,0.47,0.28,0.56,14,23,20,8,2,22
2016. 1. 28,2.0160128350627E+018,삼성,78,0.62,0.18,0.67,21,8,26,9,4,17
2016. 1. 28,2.0160128350627E+018,KT,68,0.48,0.26,0.73,16,10,21,7,3,20
2016. 2. 9,2.0160209061027E+018,KT,80,0.53,0.5,0.82,20,9,24,7,3,18
2016. 2. 9,2.0160209061027E+018,모비스,72,0.56,0.28,0.7,17,11,15,8,3,19
2015. 9. 12,2.0150912650627E+016,전자랜드,86,0.53,0.41,0.68,11,15,21,7,2,25
2015. 9. 12,2.0150912650627E+016,KT,77,0.47,0.43,0.59,12,15,15,6,4,20
2015. 10. 10,2.0151010065027E+017,KT,92,0.59,0.31,0.86,18,5,28,6,2,19
2015. 10. 10,2.0151010065027E+017,LG,91,0.56,0.38,0.73,20,9,20,5,3,19
2015. 10. 21,2.0151021700627E+017,KGC 인삼공사,83,0.59,0.16,0.83,25,8,25,6,6,24
2015. 10. 21,2.0151021700627E+017,KT,80,0.43,0.44,0.54,20,14,26,5,0,19
2016. 1. 6,2.0160106305527E+018,오리온스,85,0.42,0.6,0.85,20,8,20,13,0,18
2016. 1. 6,2.0160106305527E+018,SK,80,0.64,0.47,0.63,16,4,24,4,1,17
2015. 9. 13,2.0150913506527E+017,LG,82,0.51,0.39,0.9,14,11,18,5,5,18
2015. 9. 13,2.0150913506527E+017,전자랜드,89,0.59,0.33,0.65,15,15,18,8,3,20
2015. 11. 24,2.0151124105027E+018,모비스,79,0.63,0.27,0.65,19,12,22,12,3,16
2015. 11. 24,2.0151124105027E+018,LG,78,0.69,0.07,0.56,21,7,22,15,4,20
2015. 9. 23,2.0150923507027E+017,LG,93,0.57,0.48,0.88,22,10,26,7,2,17
2015. 9. 23,2.0150923507027E+017,KGC 인삼공사,71,0.55,0.21,0.88,13,11,20,4,2,16
2015. 11. 4,2.0151104160627E+017,동부,79,0.6,0.33,0.56,18,11,20,14,2,17
2015. 11. 4,2.0151104160627E+017,KT,66,0.48,0.3,0.58,17,13,15,8,1,16
2015. 12. 17,2.0151217506527E+018,LG,87,0.59,0.45,0.84,20,7,26,6,2,16
2015. 12. 17,2.0151217506527E+018,전자랜드,78,0.39,0.5,0.89,11,9,21,6,1,21
2016. 1. 16,2.0160116065027E+018,KT,90,0.55,0.38,0.54,23,16,23,9,3,20
2016. 1. 16,2.0160116065027E+018,LG,70,0.49,0.36,0.68,15,3,20,4,1,19
2015. 9. 29,2.0150929103027E+017,모비스,74,0.59,0.25,0.67,19,9,18,5,1,23
2015. 9. 29,2.0150929103027E+017,오리온스,83,0.59,0.33,0.85,21,9,27,7,3,16
2015. 10. 10,2.0151010556027E+017,SK,92,0.55,0.48,0.67,27,11,22,7,2,19
2015. 10. 10,2.0151010556027E+017,KCC,86,0.65,0.35,0.82,13,5,18,8,0,21
2016. 1. 26,2.0160126063027E+018,KT,69,0.5,0.32,0.75,21,8,22,6,3,14
2016. 1. 26,2.0160126063027E+018,오리온스,91,0.57,0.43,0.57,20,9,23,10,3,16
2016. 2. 7,2.0160207066027E+018,KT,94,0.52,0.3,0.77,30,13,18,10,5,22
2016. 2. 7,2.0160207066027E+018,KCC,101,0.57,0.33,0.81,13,18,26,8,3,18
2016. 2. 13,2.0160213601627E+018,KCC,92,0.6,0.44,0.78,18,7,22,3,1,14
2016. 2. 13,2.0160213601627E+018,동부,87,0.63,0.33,0.71,15,12,16,5,0,21
2016. 3. 7,2.0160307607027E+017,KCC,80,0.55,0.35,0.44,20,12,36,5,4,18
2016. 3. 7,2.0160307607027E+017,KGC 인삼공사,58,0.44,0.15,0.62,13,11,26,11,2,23
2015. 9. 19,2.0150919505527E+017,LG,81,0.67,0.28,0.64,16,10,18,5,1,14
2015. 9. 19,2.0150919505527E+017,SK,84,0.56,0.41,0.85,24,12,23,3,3,15
2015. 10. 28,2.0151028355027E+017,삼성,78,0.48,0.33,0.63,20,18,23,5,4,19
2015. 10. 28,2.0151028355027E+017,LG,73,0.51,0.25,0.81,15,8,20,5,4,18
2015. 11. 21,2.0151121165527E+018,동부,93,0.58,0.59,0.56,24,11,21,6,0,15
2015. 11. 21,2.0151121165527E+018,SK,75,0.51,0.48,0.33,17,8,15,11,5,14
2015. 10. 23,2.0151023065527E+017,KT,103,0.71,0.4,0.71,24,11,18,5,3,17
2015. 10. 23,2.0151023065527E+017,SK,84,0.67,0.38,0.86,16,5,15,4,0,21
2015. 9. 18,2.0150918106527E+017,모비스,68,0.49,0.24,0.65,18,10,18,7,3,12
2015. 9. 18,2.0150918106527E+017,전자랜드,80,0.55,0.39,0.78,15,11,22,5,4,23
2015. 12. 30,2.0151230705027E+018,KGC 인삼공사,78,0.49,0.25,0.63,13,17,17,9,2,22
2015. 12. 30,2.0151230705027E+018,LG,87,0.55,0.3,0.71,17,19,25,8,1,23
2016. 2. 4,2.0160204703027E+018,KGC 인삼공사,75,0.46,0.28,0.73,17,15,22,9,4,20
2016. 2. 4,2.0160204703027E+018,오리온스,72,0.53,0.24,0.62,20,14,28,4,5,15
2015. 9. 16,2.0150916600627E+017,KCC,54,0.38,0.13,0.67,12,17,18,6,1,22
2015. 9. 16,2.0150916600627E+017,KT,72,0.57,0.27,0.65,13,8,29,4,2,16
2015. 9. 20,2.0150920653527E+017,전자랜드,72,0.45,0.29,0.74,17,11,27,10,2,18
2015. 9. 20,2.0150920653527E+017,삼성,57,0.34,0.22,0.87,10,16,26,4,3,17
2015. 12. 12,2.0151212355027E+018,삼성,90,0.5,0.5,0.71,19,13,27,5,2,22
2015. 12. 12,2.0151212355027E+018,LG,81,0.59,0.27,0.71,14,6,20,3,1,22
2016. 3. 21,2.0160321603027E+016,KCC,71,0.45,0.31,0.58,13,12,19,7,1,20
2016. 3. 21,2.0160321603027E+016,오리온스,99,0.65,0.56,0.69,23,4,27,8,4,24
2016. 10. 23,2.0161023160629E+016,동부,91,0.5,0.4,0.59,21,17,25,6,4,19
2016. 10. 23,2.0161023160629E+016,KT,85,0.5,0.31,0.77,19,13,23,12,4,27
2015. 9. 26,2.0150926167027E+017,동부,72,0.38,0.4,0.77,11,11,19,7,0,24
2015. 9. 26,2.0150926167027E+017,KGC 인삼공사,73,0.52,0.21,0.78,10,10,24,4,5,18
2015. 10. 1,2.0151001065527E+017,KT,72,0.42,0.29,0.76,13,15,24,6,0,21
2015. 10. 1,2.0151001065527E+017,SK,84,0.43,0.32,0.81,20,16,24,12,5,20
2015. 12. 11,2.0151211103027E+018,모비스,78,0.65,0.3,0.67,22,14,23,6,4,12
2015. 12. 11,2.0151211103027E+018,오리온스,59,0.5,0.2,0.71,15,7,13,14,0,18
2015. 11. 28,2.0151128705027E+018,KGC 인삼공사,104,0.71,0.45,0.74,29,11,15,10,1,16
2015. 11. 28,2.0151128705027E+018,LG,99,0.6,0.48,0.82,30,11,16,7,0,19
2016. 1. 23,2.0160123550627E+018,SK,76,0.53,0.26,0.8,17,8,16,8,4,23
2016. 1. 23,2.0160123550627E+018,KT,87,0.56,0.37,0.69,20,15,27,5,1,19
2015. 12. 6,2.0151206603527E+018,KCC,78,0.57,0.35,0.64,15,8,26,7,6,18
2015. 12. 6,2.0151206603527E+018,삼성,73,0.46,0.24,0.61,16,19,22,7,3,15
2015. 12. 29,2.0151229063527E+018,KT,91,0.65,0.3,0.83,25,7,30,12,3,17
2015. 12. 29,2.0151229063527E+018,삼성,61,0.4,0.33,0.82,16,7,19,5,0,22
2015. 9. 27,2.0150927605027E+017,KCC,64,0.47,0.25,0.79,12,9,34,7,2,16
2015. 9. 27,2.0150927605027E+017,LG,57,0.41,0.23,0.63,11,9,25,9,2,17
2016. 1. 6,2.0160106105027E+018,모비스,89,0.58,0.24,0.67,26,13,22,6,4,14
2016. 1. 6,2.0160106105027E+018,LG,85,0.5,0.43,0.79,15,10,22,4,0,21
2016. 1. 13,2.0160113061027E+018,KT,69,0.47,0.13,0.62,15,11,19,7,7,18
2016. 1. 13,2.0160113061027E+018,모비스,68,0.44,0.47,0.64,17,12,21,9,4,22
2015. 10. 11,2.0151011507027E+017,LG,78,0.55,0.23,0.76,23,17,26,6,2,19
2015. 10. 11,2.0151011507027E+017,KGC 인삼공사,88,0.57,0.23,0.85,21,10,22,11,4,20
2016. 2. 5,2.0160205106027E+018,모비스,67,0.53,0.27,0.67,19,9,25,4,4,14
2016. 2. 5,2.0160205106027E+018,KCC,70,0.49,0.25,0.94,9,4,21,6,2,14
2016. 1. 31,2.0160131705527E+018,KGC 인삼공사,70,0.34,0.35,0.63,12,10,24,10,3,16
2016. 1. 31,2.0160131705527E+018,SK,66,0.43,0.41,0.78,11,8,32,6,3,24
2015. 12. 18,2.0151218703027E+018,KGC 인삼공사,90,0.66,0.35,1,24,11,19,6,2,15
2015. 12. 18,2.0151218703027E+018,오리온스,78,0.59,0.37,0.77,18,6,14,5,5,15
2015. 12. 26,2.0151226165027E+018,동부,99,0.61,0.38,0.68,19,13,26,6,2,17
2015. 12. 26,2.0151226165027E+018,LG,84,0.6,0.24,0.6,20,8,20,15,1,24
2016. 2. 16,2.0160216603027E+018,KCC,73,0.4,0.41,0.8,10,11,28,5,3,16
2016. 2. 16,2.0160216603027E+018,오리온스,71,0.51,0.21,0.91,16,6,24,7,2,18
2015. 10. 27,2.0151027306527E+017,오리온스,91,0.63,0.37,0.64,21,13,18,7,2,13
2015. 10. 27,2.0151027306527E+017,전자랜드,69,0.59,0.14,0.73,11,13,21,3,4,20
2015. 12. 22,2.0151222505527E+018,LG,75,0.51,0.25,0.58,19,13,20,10,1,21
2015. 12. 22,2.0151222505527E+018,SK,82,0.63,0.38,0.7,19,3,26,6,3,18
2015. 11. 7,2.0151107551027E+017,SK,61,0.38,0.31,0.83,10,15,20,5,3,20
2015. 11. 7,2.0151107551027E+017,모비스,79,0.64,0.3,0.69,22,6,22,11,8,14
2016. 1. 13,2.0160113355527E+018,삼성,70,0.43,0.18,0.6,11,23,23,4,2,19
2016. 1. 13,2.0160113355527E+018,SK,67,0.39,0.3,0.71,13,15,25,5,7,24
2015. 10. 24,2.0151024306027E+017,오리온스,88,0.54,0.37,0.7,20,11,22,3,2,18
2015. 10. 24,2.0151024306027E+017,KCC,95,0.61,0.36,0.8,15,10,23,4,2,22
2015. 10. 17,2.0151017063027E+017,KT,85,0.52,0.35,0.59,17,12,18,6,1,18
2015. 10. 17,2.0151017063027E+017,오리온스,99,0.64,0.52,0.8,27,4,24,7,6,21
2015. 10. 31,2.0151031100627E+017,모비스,86,0.66,0.43,0.73,15,9,19,7,2,14
2015. 10. 31,2.0151031100627E+017,KT,68,0.44,0.5,0.57,14,10,11,4,4,17
2016. 2. 8,2.0160208353027E+018,삼성,81,0.52,0.54,0.86,8,10,26,5,4,16
2016. 2. 8,2.0160208353027E+018,오리온스,73,0.46,0.37,0.67,16,9,17,7,3,19
2015. 11. 8,2.0151108306527E+017,오리온스,81,0.46,0.41,0.72,22,12,23,5,4,13
2015. 11. 8,2.0151108306527E+017,전자랜드,74,0.5,0.32,0.6,18,12,22,5,5,25
2015. 12. 15,2.0151215553527E+018,SK,80,0.41,0.41,0.68,17,8,23,7,5,26
2015. 12. 15,2.0151215553527E+018,삼성,85,0.49,0.33,0.63,23,13,33,6,2,19
2015. 12. 27,2.0151227653027E+018,전자랜드,76,0.58,0.19,0.62,13,11,21,5,0,18
2015. 12. 27,2.0151227653027E+018,오리온스,88,0.63,0.38,0.93,20,5,29,6,3,18
2016. 10. 22,2.0161022705529E+016,KGC 인삼공사,100,0.64,0.27,0.54,23,13,22,14,3,16
2016. 10. 22,2.0161022705529E+016,SK,95,0.61,0.41,0.76,19,9,25,8,2,24
2016. 1. 24,2.0160124353027E+018,삼성,68,0.43,0.44,0.64,19,15,21,7,3,16
2016. 1. 24,2.0160124353027E+018,오리온스,87,0.56,0.52,0.42,20,6,17,8,4,16
2016. 11. 2,2.0161102353029E+017,삼성,107,0.55,0.31,0.78,26,12,32,5,4,18
2016. 11. 2,2.0161102353029E+017,오리온스,104,0.48,0.41,0.79,27,11,25,7,4,24
2016. 10. 22,2.0161022106529E+016,모비스,63,0.44,0.27,0.6,14,12,20,12,4,12
2016. 10. 22,2.0161022106529E+016,전자랜드,80,0.52,0.38,0.75,16,17,28,8,1,13
2015. 11. 15,2.0151115655027E+018,전자랜드,73,0.51,0.5,0.82,19,9,27,4,2,19
2015. 11. 15,2.0151115655027E+018,LG,72,0.44,0.29,0.82,18,10,17,12,4,14
2016. 1. 13,2.0160113706027E+018,KGC 인삼공사,87,0.48,0.38,1,21,7,20,12,2,22
2016. 1. 13,2.0160113706027E+018,KCC,89,0.53,0.33,0.89,15,11,26,6,6,15
2015. 11. 27,2.0151127605527E+018,KCC,95,0.55,0.44,0.86,18,6,30,3,1,21
2015. 11. 27,2.0151127605527E+018,SK,80,0.48,0.43,0.81,18,4,25,5,3,19
2016. 3. 2,2.0160302357027E+016,삼성,83,0.55,0.29,0.71,18,19,21,8,2,23
2016. 3. 2,2.0160302357027E+016,KGC 인삼공사,85,0.61,0.32,0.89,18,9,17,13,4,20
2016. 1. 6,2.0160106356027E+018,삼성,82,0.56,0.27,0.5,14,9,24,7,5,22
2016. 1. 6,2.0160106356027E+018,KCC,77,0.46,0.38,0.6,14,9,23,4,1,18
2016. 1. 30,2.0160130301027E+018,오리온스,75,0.45,0.4,0.78,15,8,12,6,6,16
2016. 1. 30,2.0160130301027E+018,모비스,80,0.63,0.33,0.88,16,11,25,4,6,15
2016. 1. 2,2.0160102551027E+018,SK,90,0.54,0.53,0.94,17,10,26,5,2,18
2016. 1. 2,2.0160102551027E+018,모비스,70,0.49,0.29,0.59,21,9,15,10,1,19
2015. 10. 9,2.0151009351627E+017,삼성,79,0.6,0.33,0.86,13,12,22,7,3,20
2015. 10. 9,2.0151009351627E+017,동부,72,0.4,0.31,0.83,14,15,11,8,0,19
2015. 12. 4,2.0151204356527E+018,삼성,73,0.52,0.38,0.8,21,7,17,8,1,17
2015. 12. 4,2.0151204356527E+018,전자랜드,62,0.55,0.23,0.69,13,9,23,1,2,17
2016. 10. 26,2.0161026106029E+016,모비스,71,0.48,0.25,0.68,17,8,19,6,8,20
2016. 10. 26,2.0161026106029E+016,KCC,73,0.48,0.33,0.8,12,11,23,5,4,23
2016. 2. 2,2.0160202351027E+018,삼성,66,0.57,0,0.71,12,12,28,9,0,16
2016. 2. 2,2.0160202351027E+018,모비스,49,0.55,0.19,0.42,9,3,20,9,3,15
2016. 1. 15,2.0160115601027E+018,KCC,72,0.6,0.31,0.42,14,5,21,5,4,14
2016. 1. 15,2.0160115601027E+018,모비스,80,0.56,0.44,0.92,22,7,24,6,4,17
2015. 10. 10,2.0151010106527E+017,모비스,99,0.62,0.48,0.75,25,9,28,11,2,16
2015. 10. 10,2.0151010106527E+017,전자랜드,64,0.36,0.29,0.83,11,12,17,6,0,25
2016. 2. 12,2.0160212550627E+018,SK,81,0.49,0.33,0.77,12,12,19,5,2,20
2016. 2. 12,2.0160212550627E+018,KT,96,0.6,0.48,0.75,25,6,22,8,4,19
2016. 2. 3,2.0160203501627E+018,LG,85,0.55,0.59,0.69,14,5,15,12,1,20
2016. 2. 3,2.0160203501627E+018,동부,74,0.57,0.42,0.75,12,5,20,5,1,19
2015. 10. 3,2.0151003700627E+017,KGC 인삼공사,73,0.5,0.31,0.79,15,6,20,7,2,21
2015. 10. 3,2.0151003700627E+017,KT,71,0.54,0.24,0.55,10,15,28,6,1,20
2015. 10. 4,2.0151004501027E+017,LG,61,0.54,0.21,0.54,11,8,16,11,1,19
2015. 10. 4,2.0151004501027E+017,모비스,79,0.63,0.33,0.77,16,12,22,5,3,17
2015. 9. 12,2.0150912556027E+016,SK,80,0.55,0.41,0.85,22,7,32,2,2,23
2015. 9. 12,2.0150912556027E+016,KCC,73,0.47,0.24,0.7,11,12,20,5,2,18
2015. 12. 2,2.0151202161027E+018,동부,77,0.48,0.31,0.64,18,14,24,11,2,17
2015. 12. 2,2.0151202161027E+018,모비스,75,0.47,0.35,0.77,17,10,23,10,4,20
2015. 12. 12,2.0151212705527E+018,KGC 인삼공사,93,0.56,0.35,0.69,18,12,26,9,4,21
2015. 12. 12,2.0151212705527E+018,SK,96,0.59,0.33,0.86,20,6,22,7,3,23
2016. 10. 22,2.0161022306029E+016,오리온스,81,0.51,0.35,0.63,21,8,28,7,1,16
2016. 10. 22,2.0161022306029E+016,KCC,69,0.42,0.38,0.82,15,7,28,4,4,15
2016. 11. 6,2.0161106355529E+017,삼성,88,0.54,0.29,0.75,16,11,22,5,3,18
2016. 11. 6,2.0161106355529E+017,SK,84,0.54,0.36,1,19,5,25,4,7,21
2016. 1. 30,2.0160130356027E+018,삼성,72,0.43,0.27,0.79,16,11,23,4,2,22
2016. 1. 30,2.0160130356027E+018,KCC,74,0.52,0.33,0.65,13,7,22,6,3,26
2016. 11. 5,2.0161105605529E+017,KCC,78,0.52,0.19,0.75,12,8,23,6,2,25
2016. 11. 5,2.0161105605529E+017,SK,82,0.32,0.55,0.81,11,10,33,4,2,19
2016. 11. 2,2.0161102161029E+017,동부,74,0.38,0.4,0.52,8,16,26,6,2,12
2016. 11. 2,2.0161102161029E+017,모비스,75,0.39,0.39,0.67,23,16,29,5,4,24
2015. 9. 29,2.0150929603527E+017,KCC,80,0.53,0.29,1,15,12,21,11,1,17
2015. 9. 29,2.0150929603527E+017,삼성,61,0.51,0.18,0.79,10,13,20,6,1,13
2015. 10. 18,2.0151018607027E+017,KCC,78,0.54,0.32,0.63,14,12,32,7,3,18
2015. 10. 18,2.0151018607027E+017,KGC 인삼공사,57,0.37,0.24,0.67,14,10,22,8,5,19
2015. 12. 20,2.0151220300627E+018,오리온스,92,0.64,0.39,0.63,22,9,22,13,4,15
2015. 12. 20,2.0151220300627E+018,KT,66,0.61,0.16,0.67,21,17,23,9,0,21
2016. 1. 28,2.0160128601627E+018,KCC,81,0.59,0.12,0.65,13,16,28,7,2,11
2016. 1. 28,2.0160128601627E+018,동부,66,0.45,0.38,0.4,17,7,23,7,1,17
2015. 12. 31,2.0151231655527E+018,전자랜드,78,0.53,0.6,0.9,15,1,20,5,0,19
2015. 12. 31,2.0151231655527E+018,SK,92,0.5,0.57,0.7,21,9,22,10,0,18
2016. 3. 1,2.0160301163027E+016,동부,67,0.51,0.08,0.71,12,9,32,6,4,20
2016. 3. 1,2.0160301163027E+016,오리온스,79,0.48,0.22,0.82,18,13,32,8,6,22
2016. 3. 12,2.0160312301027E+017,오리온스,76,0.53,0.29,0.79,19,8,29,8,3,22
2016. 3. 12,2.0160312301027E+017,모비스,59,0.35,0.24,0.76,9,13,22,8,0,23
2015. 12. 10,2.0151210065527E+018,KT,73,0.5,0.21,0.82,12,10,24,7,1,17
2015. 12. 10,2.0151210065527E+018,SK,81,0.56,0.33,0.75,21,6,26,3,4,22
2016. 1. 5,2.0160105706527E+018,KGC 인삼공사,90,0.66,0.5,0.77,22,7,22,3,2,17
2016. 1. 5,2.0160105706527E+018,전자랜드,82,0.45,0.36,0.85,11,17,14,7,1,21
2016. 1. 23,2.0160123101627E+018,모비스,57,0.54,0.09,0.47,13,10,21,7,4,18
2016. 1. 23,2.0160123101627E+018,동부,64,0.47,0.18,0.79,11,11,30,8,5,21
2016. 11. 4,2.0161104301029E+017,오리온스,83,0.52,0.18,0.71,13,9,29,8,2,16
2016. 11. 4,2.0161104301029E+017,모비스,71,0.4,0.32,0.68,21,8,31,4,4,27
2015. 9. 19,2.0150919603027E+017,KCC,78,0.59,0.35,0.64,11,10,18,6,1,23
2015. 9. 19,2.0150919603027E+017,오리온,86,0.57,0.37,0.74,15,11,22,3,4,17
2016. 2. 6,2.0160206165527E+018,동부,85,0.4,0.61,0.67,21,17,20,9,3,17
2016. 2. 6,2.0160206165527E+018,SK,68,0.51,0.31,0.71,12,10,21,7,8,15
2016. 2. 19,2.0160219107027E+018,모비스,81,0.64,0.41,0.33,24,9,24,13,3,11
2016. 2. 19,2.0160219107027E+018,KGC 인삼공사,68,0.46,0.31,0.91,18,7,16,15,3,13
2015. 11. 7,2.0151107703027E+017,KGC 인삼공사,95,0.58,0.33,0.89,19,9,30,11,0,16
2015. 11. 7,2.0151107703027E+017,오리온스,72,0.5,0.28,0.86,21,9,21,3,2,16
2015. 12. 5,2.0151205100627E+018,모비스,74,0.46,0.3,0.9,14,10,27,7,7,19
2015. 12. 5,2.0151205100627E+018,KT,63,0.44,0.27,0.62,14,10,21,8,2,18
2015. 12. 13,2.0151213305027E+018,오리온스,74,0.5,0.32,0.82,21,6,24,11,1,20
2015. 12. 13,2.0151213305027E+018,LG,75,0.46,0.44,0.76,19,9,28,6,1,18
2015. 10. 22,2.0151022305027E+017,오리온스,88,0.6,0.43,0.8,20,8,19,11,4,15
2015. 10. 22,2.0151022305027E+017,LG,75,0.49,0.35,0.82,18,17,20,6,4,19
2016. 1. 1,2.0160101351627E+018,삼성,81,0.57,0.33,0.59,24,11,20,8,5,19
2016. 1. 1,2.0160101351627E+018,동부,71,0.55,0.28,0.78,15,8,18,4,2,21
2016. 2. 14,2.0160214503527E+018,LG,95,0.64,0.33,0.84,22,11,21,5,1,17
2016. 2. 14,2.0160214503527E+018,삼성,94,0.6,0.29,0.87,16,10,17,10,2,24
2016. 2. 29,2.0160229357027E+016,삼성,92,0.55,0.32,0.67,16,16,24,7,3,23
2016. 2. 29,2.0160229357027E+016,KGC 인삼공사,88,0.57,0.38,0.59,22,11,20,7,2,26
2016. 2. 28,2.0160228301627E+016,오리온스,84,0.56,0.29,0.82,19,12,18,8,4,14
2016. 2. 28,2.0160228301627E+016,동부,76,0.56,0.3,0.86,20,12,17,8,3,22
2016. 2. 16,2.0160216161027E+018,동부,66,0.44,0.42,0.92,16,7,23,6,0,23
2016. 2. 16,2.0160216161027E+018,모비스,70,0.48,0.17,0.68,17,20,25,9,2,19
2016. 2. 27,2.0160227703527E+016,KGC 인삼공사,93,0.5,0.43,0.73,19,12,29,3,2,23
2016. 2. 27,2.0160227703527E+016,삼성,86,0.5,0.16,0.69,13,22,22,6,1,24
2015. 12. 26,2.0151226706527E+018,KGC 인삼공사,89,0.63,0.5,0.68,26,5,25,6,5,19
2015. 12. 26,2.0151226706527E+018,전자랜드,71,0.48,0.19,0.93,14,13,18,6,5,18
2016. 10. 23,2.0161023351029E+016,삼성,88,0.59,0.38,0.76,16,12,26,9,3,16
2016. 10. 23,2.0161023351029E+016,모비스,73,0.42,0.43,0.73,18,9,14,8,1,19
2015. 11. 7,2.0151107063527E+017,KT,67,0.37,0.35,0.79,16,11,25,10,4,20
2015. 11. 7,2.0151107063527E+017,삼성,65,0.46,0.25,0.71,13,11,24,6,2,22
2016. 3. 27,2.0160327603027E+016,KCC,94,0.59,0.43,0.81,11,6,27,2,7,21
2016. 3. 27,2.0160327603027E+016,오리온스,88,0.43,0.4,0.86,18,11,20,7,1,25
2015. 12. 8,2.0151208067027E+018,KT,89,0.58,0.43,0.69,17,11,22,7,4,15
2015. 12. 8,2.0151208067027E+018,KGC 인삼공사,94,0.58,0.46,0.83,18,8,17,11,3,19
2015. 12. 23,2.0151223303527E+018,오리온스,97,0.59,0.75,0.71,20,6,20,12,3,19
2015. 12. 23,2.0151223303527E+018,삼성,69,0.43,0.29,0.84,13,14,18,11,1,17
2015. 12. 24,2.0151224651627E+018,전자랜드,79,0.49,0.33,0.71,13,13,20,6,1,21
2015. 12. 24,2.0151224651627E+018,동부,86,0.38,0.6,0.86,20,7,25,4,4,18
2016. 1. 27,2.0160127555027E+018,SK,82,0.54,0.28,0.87,18,15,24,8,3,12
2016. 1. 27,2.0160127555027E+018,LG,73,0.48,0.41,0.8,15,8,18,6,1,17
2015. 10. 11,2.0151011301627E+017,오리온스,80,0.56,0.33,0.8,18,10,27,10,4,15
2015. 10. 11,2.0151011301627E+017,동부,74,0.52,0.47,0.5,18,8,20,3,2,14
2016. 2. 21,2.0160221651027E+018,전자랜드,70,0.49,0.31,0.9,15,7,13,5,0,23
2016. 2. 21,2.0160221651027E+018,모비스,89,0.6,0.35,0.79,23,13,28,8,5,13
2016. 3. 13,2.0160313706027E+017,KGC 인삼공사,92,0.53,0.33,0.92,19,9,11,8,0,21
2016. 3. 13,2.0160313706027E+017,KCC,113,0.72,0.33,0.74,16,16,27,7,4,19
2015. 11. 14,2.0151114606527E+017,KCC,83,0.5,0.25,0.81,12,12,25,5,3,21
2015. 11. 14,2.0151114606527E+017,전자랜드,77,0.43,0.33,0.76,11,15,21,2,3,25
2015. 10. 3,2.0151003166027E+017,동부,84,0.57,0.36,0.85,15,13,21,7,3,20
2015. 10. 3,2.0151003166027E+017,KCC,88,0.55,0.53,0.8,12,8,16,8,1,22
2015. 11. 21,2.0151121350627E+018,삼성,88,0.54,0.38,0.82,20,11,19,4,3,27
2015. 11. 21,2.0151121350627E+018,KT,83,0.61,0.29,0.63,20,8,18,8,2,23
2016. 1. 3,2.0160103600627E+018,KCC,74,0.5,0.36,0.6,11,13,28,4,5,22
2016. 1. 3,2.0160103600627E+018,KT,67,0.4,0.22,0.79,13,20,23,7,6,18
2016. 2. 13,2.0160213301027E+018,오리온스,73,0.57,0.25,0.68,15,9,11,6,1,19
2016. 2. 13,2.0160213301027E+018,모비스,88,0.6,0.33,0.95,17,13,17,12,0,21
2016. 11. 6,2.0161106306529E+017,오리온스,82,0.6,0.29,0.42,17,11,24,4,2,18
2016. 11. 6,2.0161106306529E+017,전자랜드,80,0.53,0.24,0.71,16,12,22,8,4,20
2016. 3. 29,2.0160329306027E+016,오리온스,120,0.71,0.68,0.69,29,9,29,6,1,21
2016. 3. 29,2.0160329306027E+016,KCC,86,0.45,0.5,0.53,15,11,13,5,2,17
2015. 12. 5,2.0151205505527E+018,LG,79,0.5,0.29,0.93,18,9,24,6,1,18
2015. 12. 5,2.0151205505527E+018,SK,78,0.56,0.29,0.69,23,4,27,5,1,19
2016. 2. 17,2.0160217657027E+018,전자랜드,86,0.6,0.4,0.62,27,6,17,6,2,24
2016. 2. 17,2.0160217657027E+018,KGC 인삼공사,82,0.58,0.22,0.83,17,14,20,7,3,20
2016. 2. 18,2.0160218605527E+018,KCC,90,0.64,0.44,0.47,11,7,25,8,2,17
2016. 2. 18,2.0160218605527E+018,SK,83,0.56,0.43,0.54,17,7,26,7,2,17
2016. 2. 26,2.0160226301627E+016,오리온스,104,0.66,0.45,0.67,23,7,19,13,5,21
2016. 2. 26,2.0160226301627E+016,동부,78,0.5,0.34,0.77,21,12,20,7,1,25
2016. 10. 23,2.0161023605029E+016,KCC,67,0.38,0.35,0.73,16,11,23,5,2,16
2016. 10. 23,2.0161023605029E+016,LG,79,0.51,0.33,0.85,20,10,33,7,5,17
2015. 10. 4,2.0151004551627E+017,SK,67,0.48,0.24,0.54,20,10,21,8,5,16
2015. 10. 4,2.0151004551627E+017,동부,78,0.51,0.35,0.83,24,8,25,7,2,19
2015. 9. 19,2.0150919163527E+017,동부,86,0.58,0.32,0.67,27,10,15,9,3,21
2015. 9. 19,2.0150919163527E+017,삼성,92,0.59,0.48,0.75,19,10,20,5,0,20
